"Land";"Rheinland-Pfalz"
"Kreis";"Alle"
"";""
"Regionale Ebene";"Kreise"
"Gebietsstand";"Juni 2023"
"Berichtsmonat";"Juni 2023"
"Datenstand";"Januar 2024"
"Hinweise";"In den Pendlerangaben sind nur regional zuordenbare Fälle enthalten Regionen, deren Pendlerzahl insgesamt kleiner 10 ist, werden als „Übrige“ zu der nächsthöheren Ebene zusammengefasst"
""
""
"Thema:";"Auspendler Kreise"
"Wohnort";"Regionalschlüssel";"Arbeitsort";"Regionalschlüssel";"Insgesamt";"Männer";"Frauen";"Deutsche";"Ausländer";"Auszubildende"
"Ahrweiler";"07131";"Ludwigshafen am Rhein, kreisfreie Stadt";"07314";"10";"10";"0";"10";"0";"0"
"Ahrweiler";"07131";"Mainz, kreisfreie Stadt";"07315";"100";"50";"60";"100";"0";"0"
"Ahrweiler";"07131";"Neustadt an der Weinstraße, kreisfreie Stadt";"07316";"10";"10";"0";"10";"0";"0"
"Ahrweiler";"07131";"Mainz-Bingen";"07339";"20";"10";"0";"10";"0";"0"
"Ahrweiler";"07131";"Übrige Kreise (Regierungsbezirk)";"081xx";"50";"40";"10";"40";"10";"0"
"Ahrweiler";"07131";"Stuttgart, Landeshauptstadt";"08111";"40";"40";"10";"40";"0";"0"
"Ahrweiler";"07131";"Böblingen";"08115";"10";"10";"0";"10";"0";"0"
"Ahrweiler";"07131";"Heilbronn";"08125";"20";"10";"0";"10";"10";"0"
"Ahrweiler";"07131";"Übrige Kreise (Regierungsbezirk)";"082xx";"20";"20";"0";"20";"0";"0"
"Ahrweiler";"07131";"Karlsruhe, Stadt";"08212";"10";"10";"10";"10";"0";"0"
"Ahrweiler";"07131";"Karlsruhe";"08215";"20";"10";"10";"10";"0";"0"
"Ahrweiler";"07131";"Heidelberg, Stadt";"08221";"10";"0";"10";"10";"0";"0"
"Ahrweiler";"07131";"Mannheim, Universitätsstadt";"08222";"20";"10";"10";"20";"0";"0"
"Ahrweiler";"07131";"Rhein-Neckar-Kreis";"08226";"20";"10";"10";"20";"0";"0"
"Ahrweiler";"07131";"Übrige Kreise (Regierungsbezirk)";"091xx";"30";"20";"10";"30";"10";"0"
"Ahrweiler";"07131";"München, Landeshauptstadt";"09162";"120";"80";"40";"110";"20";"0"
"Ahrweiler";"07131";"Freising";"09178";"10";"10";"10";"10";"0";"0"
"Ahrweiler";"07131";"München";"09184";"60";"50";"10";"50";"10";"0"
"Ahrweiler";"07131";"Übrige Kreise (Regierungsbezirk)";"095xx";"20";"10";"10";"20";"0";"0"
"Ahrweiler";"07131";"Nürnberg, Stadt";"09564";"20";"20";"10";"20";"10";"0"
"Ahrweiler";"07131";"Übrige Kreise (Regierungsbezirk)";"100xx";"10";"10";"0";"10";"0";"0"
"Ahrweiler";"07131";"Regionalverband Saarbrücken";"10041";"30";"10";"10";"20";"0";"0"
"Ahrweiler";"07131";"Berlin, Stadt";"11000";"180";"90";"80";"150";"30";"0"
"Ahrweiler";"07131";"Übrige Kreise (Regierungsbezirk)";"120xx";"20";"10";"10";"10";"10";"0"
"Ahrweiler";"07131";"Oder-Spree";"12067";"20";"20";"0";"0";"20";"0"
"Ahrweiler";"07131";"Übrige Kreise (Regierungsbezirk)";"140xx";"30";"20";"10";"10";"10";"0"
"Ahrweiler";"07131";"Chemnitz, Stadt";"14511";"20";"10";"10";"10";"0";"0"
